epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1134.34,1.42444,1.68109,1.47459,0.66204,0.59124,0.66562,0.24648,2.08244,2.74532,2.44656,0.000848969,0.000848969,0.000848969
43,1161.57,1.30733,1.68899,1.37512,0.67507,0.56944,0.66185,0.31197,2.03479,2.62506,2.26919,0.000834822,0.000834822,0.000834822
44,1188.59,1.44333,1.70166,1.47334,0.76155,0.61111,0.69646,0.32225,2.02569,2.49183,2.28713,0.000820675,0.000820675,0.000820675
45,1215.48,1.47749,1.66527,1.53001,0.76155,0.61111,0.69646,0.32225,2.02569,2.49183,2.28713,0.000806528,0.000806528,0.000806528
46,1242.61,1.34688,1.75779,1.43826,0.66491,0.69444,0.6891,0.31932,1.90628,2.42362,2.1446,0.00079238,0.00079238,0.00079238
47,1269.09,1.27223,1.48361,1.32909,0.70666,0.73611,0.8255,0.35631,1.85459,2.32996,2.10948,0.000778233,0.000778233,0.000778233
48,1295.87,1.23727,1.65006,1.32983,0.83532,0.81631,0.94721,0.4259,1.8613,2.29138,2.08072,0.000764086,0.000764086,0.000764086
49,1322.44,1.43197,1.60822,1.40616,0.83532,0.81631,0.94721,0.4259,1.8613,2.29138,2.08072,0.000749939,0.000749939,0.000749939
50,1349.18,1.37982,1.69394,1.46223,0.87488,0.95598,0.96643,0.45845,1.84774,2.33349,2.0146,0.000735792,0.000735792,0.000735792
51,1375.63,1.27052,1.64106,1.3418,0.86377,0.97229,0.96198,0.45122,1.88464,2.14629,2.05915,0.000721645,0.000721645,0.000721645
52,1402.17,1.34183,1.76032,1.40437,0.91368,0.95128,0.96013,0.46461,1.90744,2.13572,2.09915,0.000707498,0.000707498,0.000707498
53,1428.98,1.26109,1.62464,1.33357,0.91368,0.95128,0.96013,0.46461,1.90744,2.13572,2.09915,0.000693351,0.000693351,0.000693351
54,1456.06,1.22349,1.45694,1.27832,0.91116,0.95775,0.95069,0.45137,1.95287,2.13385,2.13411,0.000679204,0.000679204,0.000679204
55,1482.43,1.22212,1.57093,1.35322,0.88944,0.93443,0.94379,0.42153,1.869,2.04308,2.13525,0.000665057,0.000665057,0.000665057
56,1509.23,1.20693,1.59346,1.31293,0.85987,0.83431,0.90968,0.42513,1.79454,2.00424,2.1432,0.000650909,0.000650909,0.000650909
57,1535.29,1.27563,1.54011,1.41218,0.85987,0.83431,0.90968,0.42513,1.79454,2.00424,2.1432,0.000636762,0.000636762,0.000636762
58,1562.69,1.09264,1.40617,1.28161,0.80984,0.79874,0.88655,0.42744,1.80975,2.04713,2.15323,0.000622615,0.000622615,0.000622615
59,1589.37,1.28385,1.52107,1.35203,0.84566,0.88051,0.92055,0.42423,1.82526,2.04723,2.13817,0.000608468,0.000608468,0.000608468
60,1616.16,1.28046,1.51952,1.41852,0.84905,0.87778,0.90988,0.4462,1.81872,1.97516,2.15591,0.000594321,0.000594321,0.000594321
61,1642.18,1.07597,1.25796,1.23736,0.84905,0.87778,0.90988,0.4462,1.81872,1.97516,2.15591,0.000580174,0.000580174,0.000580174
62,1669.72,1.18975,1.37477,1.30681,0.87325,0.92425,0.918,0.41519,1.78721,1.88115,2.12604,0.000566027,0.000566027,0.000566027
63,1696.11,1.13449,1.30116,1.35062,0.83918,0.88324,0.91677,0.44316,1.86612,1.91186,2.19332,0.00055188,0.00055188,0.00055188
64,1722.29,1.1418,1.32242,1.28948,0.71972,0.94476,0.89499,0.4328,1.85564,1.94913,2.18561,0.000537733,0.000537733,0.000537733
65,1748.44,1.13525,1.43848,1.29409,0.71972,0.94476,0.89499,0.4328,1.85564,1.94913,2.18561,0.000523586,0.000523586,0.000523586
66,1775.21,1.14069,1.46863,1.29483,0.85719,0.80234,0.89842,0.39387,1.84362,2.00384,2.12339,0.000509438,0.000509438,0.000509438
67,1802.87,1.16547,1.47031,1.32084,0.87577,0.80556,0.86596,0.41364,1.77202,1.899,2.08432,0.000495291,0.000495291,0.000495291
68,1833.76,1.20463,1.38815,1.30209,0.88634,0.80424,0.85291,0.36131,1.75362,1.90764,2.0627,0.000481144,0.000481144,0.000481144
69,1859.13,1.17013,1.35571,1.30274,0.88634,0.80424,0.85291,0.36131,1.75362,1.90764,2.0627,0.000466997,0.000466997,0.000466997
70,1883.72,1.16176,1.47111,1.33934,0.83177,0.90845,0.91085,0.39857,1.74392,1.90979,2.08168,0.00045285,0.00045285,0.00045285
71,1908.48,1.05289,1.28397,1.24797,0.86866,0.95709,0.90855,0.40426,1.67249,1.82421,2.03024,0.000438703,0.000438703,0.000438703
72,1932.98,1.01826,1.24332,1.19986,0.87173,0.95269,0.91003,0.45956,1.67757,1.75599,2.09169,0.000424556,0.000424556,0.000424556
73,1957.54,0.99999,1.31611,1.26775,0.87173,0.95269,0.91003,0.45956,1.67757,1.75599,2.09169,0.000410409,0.000410409,0.000410409
74,1981.81,1.19266,1.25879,1.28693,0.86505,0.94968,0.91703,0.47286,1.71781,1.69471,2.17499,0.000396262,0.000396262,0.000396262
75,2006.14,1.12015,1.17115,1.24601,0.8541,0.94526,0.91114,0.46511,1.74436,1.63317,2.22122,0.000382115,0.000382115,0.000382115
76,2030.58,1.12187,1.43141,1.32562,0.85243,0.89659,0.90855,0.42964,1.76337,1.65626,2.22503,0.000367967,0.000367967,0.000367967
77,2055.68,1.05072,1.24232,1.21553,0.85243,0.89659,0.90855,0.42964,1.76337,1.65626,2.22503,0.00035382,0.00035382,0.00035382
78,2079.59,0.99652,1.18023,1.2208,0.83338,0.90742,0.90849,0.43651,1.80923,1.64374,2.23459,0.000339673,0.000339673,0.000339673
79,2103.77,1.04574,1.17056,1.18028,0.79918,0.94625,0.91222,0.43924,1.83329,1.63316,2.25164,0.000325526,0.000325526,0.000325526
80,2128,1.00765,1.25454,1.21369,0.85198,0.86608,0.91496,0.45315,1.81237,1.61152,2.24085,0.000311379,0.000311379,0.000311379
81,2152.5,0.94743,1.1558,1.19383,0.85198,0.86608,0.91496,0.45315,1.81237,1.61152,2.24085,0.000297232,0.000297232,0.000297232
82,2176.52,1.04876,1.21518,1.20235,0.82289,0.95036,0.92177,0.45917,1.76589,1.59809,2.16845,0.000283085,0.000283085,0.000283085
