epoch,gradient_magnitude
0,0.013547543233921946
1,0.015404400849849646
2,0.015506288926054875
3,0.023396618445571993
4,0.006699516832876815
5,0.004604577540774098
6,0.010906971113989262
7,0.01348962997231188
8,0.004776020376656112
9,0.0073587884047957245
10,0.0025171430590217895
11,0.005822690562843752
12,0.007146003271766779
13,0.0021412609132785685
14,0.00046302669967368136
15,0.008412413274487237
16,0.005139772869045327
17,0.004298926611541525
18,0.011371289451250478
19,0.0022684344105482744
20,0.005882281933995231
21,0.0037866140687876607
22,0.0031353875264272186
23,0.007354765182252611
24,0.0024036566466743097
25,0.0033810427031250143
26,0.005766932427356582
27,0.0020886405320147076
28,0.0014177870667959696
29,0.005418508694047911
30,0.0008111509386147535
31,0.007401892615549603
32,0.00046966565493298607
33,0.003080365693462465
34,0.005155195552986383
35,0.0009697656960886919
36,0.003741138552727878
37,0.0008498734072982465
38,0.0025752766548940613
39,0.004987533320832557
40,0.0036731273260092114
41,0.0031977905967881027
42,0.0009706460420989341
43,0.00026978902247939805
44,0.0007766964928372836
45,0.003707872580039761
46,0.000732114500361654
47,0.0003492401591826007
48,0.00220034838163531
49,0.00029583182643936766
