epoch,gradient_magnitude
0,0.04455168910208411
1,0.07441295020654076
2,0.035593874159677366
3,0.030899760349570794
4,0.007746900420758698
5,0.02146407982118909
6,0.00021763869351744015
7,0.09908058876164173
8,0.04153468959514836
9,0.03160685062033915
10,0.02094373582395523
11,0.03472072435620787
12,0.009108006568396292
13,0.014683417022284383
14,0.031430102081060625
15,0.0014430026184223072
16,1.4948195679680567e-05
17,0.00012115631837411437
18,0.00795178749723415
19,0.08073267063799043
20,0.00010140996074923777
21,0.00016133706713011782
22,0.000516336021056983
23,0.0003841502150659507
24,1.7725507309762713e-06
25,0.029276285401315823
26,0.007289052624491443
27,1.2266444495343011e-05
28,0.01606246473470474
29,6.975187671387503e-08
30,0.009423113179054254
31,0.0011590982536577679
32,5.281496797179169e-06
33,4.170582014851962e-05
34,0.004766850342236147
35,0.017666448741789537
36,0.0008244930385968851
37,1.4579972746991842e-05
38,1.5933530230598765e-05
39,0.01106887850693804
40,0.0016496217422006627
41,4.3248517575055246e-05
42,8.613343775797838e-09
43,6.714351080278015e-05
44,1.4383370962321622e-06
45,0.002978003336983095
46,0.0023628684667897377
47,2.4127834529590722e-06
48,0.0008422751618883926
49,4.6657883982544015e-05
50,1.9699671884638314e-05
51,3.443413540711937e-05
52,0.005366641712496855
53,2.1384922519105394e-07
54,7.653079998008246e-05
55,2.2679173015937908e-05
56,9.299901252277205e-05
57,0.00663591073920917
58,5.5925882392913063e-08
59,0.0015248547551601562
60,2.965406600428295e-06
61,0.002304581666889806
62,2.8073250315194833e-09
63,0.0007293064544341005
64,8.70365039938964e-05
65,2.5792107478754588e-05
66,1.0312685133885562e-06
67,0.0007036979832729586
68,0.0012327673357885652
69,2.2505178280330467e-06
70,0.0013217220070262064
71,0.00014212167613431557
72,0.0017298605947894024
73,9.626447865169258e-06
74,0.0009135402581418971
75,3.3146150962396283e-06
76,0.0009144163977395293
77,3.729173079989814e-06
78,0.0004944305096312771
79,0.00010918723071970775
80,0.0007246064709593847
81,3.7991900341439484e-07
82,0.00011762842533116774
83,1.1245061543564025e-06
84,6.488177159480897e-05
85,1.4639486852812811e-05
86,0.0002936811284641684
87,5.3346174930364445e-09
88,2.40625231932188e-06
89,0.013904489465607076
90,0.000695141974650901
91,2.932544712808482e-05
92,2.899979849429756e-05
93,7.09842057369135e-05
94,8.725587861152963e-07
95,1.0841575951609071e-05
96,3.3286585290934496e-06
97,3.2980450698871346e-08
98,0.0010908225062252021
99,4.112412998014247e-05
