epoch,gradient_magnitude
0,0.010186209794003143
1,0.011953634332720306
2,0.008827934440026112
3,0.006100678763299212
4,0.005130506494594379
5,0.02199602092256752
6,0.010685995793989335
7,0.004787718712599866
8,0.0017094192087023165
9,0.0028019252309423254
10,0.0025918115818801437
11,0.0005545619473373881
12,0.001048031240318745
13,0.0016339128926322148
14,0.0025220239208592
15,0.010052123514162972
16,0.0006664496163500842
17,0.0008670985634427901
18,0.0016820431662417901
19,0.0007819887010407314
20,0.00041551730990990016
21,0.00027769264976672145
22,0.008288515576728534
23,0.003630718615265701
24,0.0007835380459771972
25,0.002297867427228293
26,0.00015256080651284513
27,4.786190702552187e-05
28,0.00016186064003033746
29,8.270849208814372e-05
30,0.00029936046969800844
31,8.123290585266951e-05
32,0.000692596297763316
33,6.473163124864587e-05
34,0.0005317897112743455
35,0.00016652070274447998
36,0.0005212176298170512
37,0.0008702277257367363
38,0.0013417763290142844
39,0.00026405023813591365
40,4.098422158622074e-05
41,0.0014623431146157599
42,0.0001883008723858467
43,0.0003002886106321814
44,0.0003874367008473579
45,0.00011161510807022236
46,0.00012211120554468367
47,0.00014411222698317502
48,7.766795646493076e-05
49,1.98311827500104e-05
50,0.00017396481199919358
51,1.286692131489811e-05
52,4.859778142277723e-05
53,4.970955593501474e-06
54,0.00010060320401101141
55,7.0821576918971405e-06
56,5.14114447141525e-05
57,5.724270575732603e-05
58,6.59971199366759e-05
59,0.00019825321868805596
60,5.321642103344154e-06
61,1.8392048364108802e-05
62,5.8952661151436984e-05
63,2.6246336030338936e-05
64,1.7066363053686095e-05
65,5.409424794499913e-05
66,6.466033169193771e-06
67,7.985198301497054e-05
68,3.2560117862619865e-05
69,1.7663045802424969e-06
70,6.943736968390635e-05
71,5.124432297605322e-06
72,6.804202892458186e-05
73,8.560598132603331e-07
74,2.3804598507845154e-07
75,1.0670014005581008e-05
76,4.0023210136248543e-05
77,1.3779084948609429e-05
78,7.036541448592823e-05
79,9.98744844556497e-05
80,3.2258812805735486e-06
81,1.4728603627313048e-05
82,2.3795762876317732e-05
83,3.9279612572701305e-05
84,4.344427622760605e-05
85,8.178276218765986e-06
86,9.012251398471552e-05
87,8.965873517696594e-06
88,5.516787940514484e-05
89,4.258180437981145e-06
90,2.3599799134468182e-05
91,3.018870048158634e-05
92,3.9168759726904815e-05
93,2.798050826911398e-06
94,8.839888184573135e-06
95,1.9290251767584194e-05
96,1.5250053479121322e-05
97,7.34766598469603e-05
98,1.4166604395423674e-05
99,3.856220059928792e-06
