epoch,gradient_magnitude
0,0.026468397241381152
1,0.00011198740215280212
2,0.0262907469747748
3,0.08645076516656644
4,0.03609506656349932
5,0.005711258885883313
6,0.006194874010738903
7,0.02266958295051743
8,0.11327413593445662
9,9.455038609442522e-05
10,0.000256675823938083
11,0.0003315601863357422
12,0.0006806872889673922
13,0.005524144816656337
14,2.338772542335031e-06
15,2.351357139868904e-06
16,0.002453734833166147
17,0.0004750130353077121
18,0.0003792415162905052
19,5.4995694593915203e-08
20,1.6202582305244126e-07
21,9.610168723748323e-09
22,2.7638282694211584e-06
23,0.00023516460626738842
24,4.897233625078095e-05
25,1.1321532006401776e-05
26,5.135853754082494e-05
27,0.00023396944501410548
28,1.2671948841318328e-08
29,9.567694242779124e-11
30,0.0005786043726954103
31,0.0026162191708798297
32,3.817774108381304e-07
33,6.464792216473777e-06
34,5.127890609666208e-05
35,1.6425443178097657e-05
36,8.451786494666485e-09
37,5.085570159137501e-08
38,4.324081479076512e-07
39,8.141014184886734e-06
40,2.77148533384247e-05
41,2.610495163360023e-06
42,2.7977949473277834e-08
43,7.316382315389824e-08
44,1.148034259838468e-07
45,1.7006753507658303e-08
46,1.3149495217576028e-08
47,2.5358916938507446e-06
48,8.84377471549211e-08
49,2.91660920310493e-06
